Original,Owner,Bayonetta,Cloud,Sheik,Diddy Kong,Sonic,Rosalina & Luma,Zero Suit Samus,Fox,Mewtwo,Corrin,Pikachu,Ryu,Meta Knight,Marth,Mario,Lucina,Greninja,Olimar,Mega Man,Peach,Lucas,Villager,Yoshi,Toon Link,Shulk,Lucario,Luigi,Samus,Pit,Dark Pit,Captain Falcon,Bowser,Duck Hunt,R.O.B.,Link,Ness,Mr. Game & Watch,Palutena,Donkey Kong,Robin,Roy,Ike,PAC-MAN,Wario,Little Mac,Bowser Jr.,Falco,Charizard,Dr. Mario,Kirby,Zelda,King Dedede,Wii Fit Trainer,Ganondorf,Jigglypuff,Overall
Ike,Ike,-1.8,-1.5,-2,-2.1,-1.4,-1.3,-1.4,-1.2,-1.1,-0.7,-1,-1.1,-0.9,-0.7,-0.9,-0.6,-1,-0.7,-0.8,-0.3,-0.5,-0.9,-0.1,-0.6,-0.1,0.4,-0.3,-0.8,-1,-1,-1.3,-0.5,-0.2,-0.6,-0.1,0,0,0.3,-0.4,0.2,-0.2,-,0.5,0.8,-0.2,-0.2,0.1,0.5,1.6,0.5,0.9,0.9,0.7,1.1,1.2,-21.8
PAC-MAN,PAC-MAN,-1.7,-2.2,-1.2,0.3,-1.3,-1.5,-1.5,-1.4,-1.5,-1,-0.7,-0.1,-1.1,-1.1,-1.3,-1.1,-1.4,-0.9,0,-0.4,0,-1.3,-0.2,-0.4,-0.8,-0.9,0.5,-1,-0.3,-0.3,-0.5,0.1,-0.4,-1,-0.4,-0.2,-0.3,-0.7,1.4,-0.8,-0.4,-0.5,-,-0.9,1.8,0.3,-0.3,0.3,-0.4,0.7,0.3,0.8,0.2,1.2,1.2,-24.3
Wario,Wario,-2.1,-2.4,-1.5,-1.6,-2,-0.8,-1.8,-1.6,-2,-1.2,-1,-1,-1.2,-1.3,-0.6,-1.6,-0.3,-0.5,-0.4,-0.7,-0.6,-0.9,-0.8,-0.4,-1.5,1.4,-0.2,-0.6,-0.2,-0.1,-0.6,-0.1,0.3,-1.4,0,-0.6,-0.4,-0.2,-0.6,-0.2,-0.6,-0.8,0.9,-,0.7,0.3,-0.2,0.8,0.4,0.9,0.3,0.9,0.7,0.5,1,-27.5
Little Mac,LittleMac,-2.1,-2,-1.1,-1.7,-2,-1.6,-0.8,-0.9,-0.8,-0.5,-1.6,-0.9,-0.4,-1.5,-0.7,-1.6,-0.4,-0.5,-0.1,-1.8,-1.3,-0.9,-0.2,-1,-0.8,-0.3,0.3,-0.8,-0.3,-0.3,-0.4,-0.4,-0.6,0,-0.6,-1,-0.3,1.3,-0.7,0.3,-0.5,0.2,-1.8,-0.7,-,0,0,-0.1,0.6,0.2,1.2,0.2,0.5,1,1.3,-28.9
Bowser Jr.,BowserJr,-1.5,-2,-1.7,-2,-1.1,-2.3,-2,-1.3,-1.5,-1.4,-0.9,-1.2,-0.3,-0.8,-1.5,-0.7,-0.6,-1.6,-0.9,-0.7,-1,-2.1,-0.5,-1.4,-1.1,-0.1,-0.7,-0.9,0,0,-0.2,0.3,-0.8,-0.3,-0.4,-0.6,0.8,-0.2,0.3,-0.8,-0.2,0.2,-0.3,-0.3,0,-,0.6,0.5,1,0.5,0.3,2,0.3,1.1,-0.1,-30.1
Falco,Falco,-2.1,-1.8,-1.7,-1.5,-1.1,-0.6,-0.9,-0.6,-0.2,-1.1,-2.3,-0.7,-0.7,-1.1,-1.9,-1.1,-0.8,-0.3,0,-0.9,-1,0.6,-0.7,-0.8,-0.1,-0.5,-2.1,-0.5,-1.1,-1.1,-0.4,-0.3,0.3,0.8,-0.5,-0.3,-0.8,0.5,-0.4,0.3,0.1,-0.1,0.3,0.2,0,-0.6,-,-0.6,-0.3,-0.5,0.7,1,1.5,0.9,0.2,-26.7
Charizard,Charizard,-2.4,-1,-1.7,-2.3,-1.9,-1.9,-2.5,-1.4,-1,-1.4,-0.9,-1.8,-1.1,-0.6,-0.5,-0.3,-0.8,-1.2,-1.4,-0.7,-1.1,-0.6,-0.7,-0.9,-0.1,-0.2,-0.4,-1.3,-0.9,-0.9,-1,-0.4,-1,-0.7,0.4,-0.4,0.3,-0.6,0.1,-1,-0.5,-0.5,-0.3,-0.8,0.1,-0.5,0.6,-,1.9,0.3,0.4,0.3,0,0.4,0.9,-35.9
Dr. Mario,DrMario,-1.9,-2.1,-1.5,-1.9,-2.4,-2.1,-1.4,-0.9,-1.4,-1.6,-0.3,-1.4,-0.5,-1.8,-0.6,-1.6,-0.7,-0.6,-0.4,-1.3,-0.8,-0.6,-1.1,-0.5,-1.6,0.3,-1.1,-0.9,-1,-1,-1.4,-1.6,-0.3,-0.4,-0.7,-0.6,-0.6,-0.8,-1.9,0.3,-0.7,-1.6,0.4,-0.4,-0.6,-1,0.3,-1.9,-,0.5,0.6,0.1,0.8,-0.6,0.6,-46.2
Kirby,Kirby,-1.6,-2,-0.7,-2,-2.7,-2.6,-0.7,-0.2,-2.1,-2.3,-1.1,-0.6,-2.2,-1.9,-1.2,-1.8,-1.2,-1.5,-0.3,-1,-1.1,-0.5,-1.8,-1.7,-0.8,-1.1,-2,-0.4,-1.2,-1.2,1.3,-1.3,-1.1,-0.8,-0.4,-0.9,-0.8,0.3,-1.5,0.1,-0.4,-0.5,-0.7,-0.9,-0.2,-0.5,0.5,-0.3,-0.5,-,0.6,-0.6,2.1,-0.2,0.4,-47.8
Zelda,Zelda,-2.4,-1.9,-1.7,-2.3,-2.3,-1.6,-1.8,-1.6,-1.6,-1.5,-1.1,-0.8,-1.9,-1.3,-1,-1.5,-1.2,-1.5,-1,-1.3,-0.6,-0.9,-1.1,-1.4,-1.2,-0.3,-0.8,-1,-1.8,-1.8,-1.1,-0.7,-0.9,-0.7,-0.8,-0.7,-0.4,-0.9,-0.7,-0.4,-0.4,-0.9,-0.3,-0.3,-1.2,-0.3,-0.7,-0.4,-0.6,-0.6,-,0.4,0.1,0.5,0.6,-53.6
King Dedede,KingDedede,-2.9,-2.3,-2.2,-2.9,-2.6,-2.1,-2.8,-2.1,-1.9,-1.7,-1.8,-1.5,-1.5,-0.9,-1.3,-0.8,-1.2,-2.5,-2.6,-1,-1.1,-2,-1.9,-1.7,-1.1,-1,-1.1,-1.8,-0.8,-0.8,-1.3,-0.6,-2.2,-1.7,-1.1,-1.1,-1,-0.7,-0.8,-1.8,-0.4,-0.9,-0.8,-0.9,-0.2,-2,-1,-0.3,-0.1,0.6,-0.4,-,-0.3,0.7,0.8,-69.4
